"category","metric","value"
"metadata","data_version","census-counties-2025.1"
"metadata","default_reference_date","2025-01-01"
"metadata","rejected_rows","0"
"records","metadata","1"
"records","sources","7"
"records","code_systems","1"
"records","entities","3249"
"records","versions","3253"
"records","codes","3250"
"records","names","3253"
"records","aliases","0"
"records","relationships","0"
"records","successions","16"
"records","crosswalk_edges","0"
"records","crosswalk_measures","0"
"records","geometries","0"
"current_count","AK","30"
"current_count","CT","9"
"current_count","MT","56"
"source","src_gazetteer_2025","2025|md5:aa4e5f1e10a249a4ba91542de492931e"
"source","src_changes_1970","1970s|md5:0ea6550f617fc6a2ab1197e116e41951"
"source","src_changes_1980","1980s|md5:1dd07c9a83f9f85474816e1ddb125134"
"source","src_changes_1990","1990s|md5:11bfddf0b5df148f115fd6dee7b424d3"
"source","src_changes_2000","2000s|md5:3743dbf5e96285fb1d9a13ee88632b96"
"source","src_changes_2010","2010s|md5:9e4cf4a52ea4c63117a2a7625712e1cd"
"source","src_changes_2020","2020s|md5:3737f608711c31466e6ce10730443fcf"
