file,publisher,title,vintage,source_url,license_status,provenance_status,usage_status,md5,notes
2021_Gaz_cbsa_national.txt,U.S. Census Bureau,2021 Gazetteer Files - Core Based Statistical Areas,2021,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2021.html,US-government-work,verified,active,6e6a70ca8600dae751c6f980f7b0c2d6,Original tab-delimited Census Gazetteer file
2021_Gaz_counties_national.txt,U.S. Census Bureau,2021 Gazetteer Files - Counties,2021,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2021.html,US-government-work,verified,active,01117c84a5a52f1952b823fdd45ced67,Original tab-delimited Census Gazetteer file
cbsa_geom_data.csv,U.S. Census Bureau,2018 CBSA cartographic boundaries at 1:20 million,2018,https://www2.census.gov/geo/tiger/GENZ2018/shp/cb_2018_us_cbsa_20m.zip,US-government-work,verified,active,7db945301852b96ad5907a1abc694d42,Flattened coordinates and identifiers exactly match the official shapefile
cbsas.csv,U.S. Census Bureau Population Division,Core Based Statistical Areas and Component Counties,2018,https://www.whitehouse.gov/wp-content/uploads/2018/09/Bulletin-18-04.pdf,US-government-work,verified,active,92654c1b9415064777ed1df49384b59a,File footer identifies September 2018 OMB delineations and October 2018 release
code_aliases.csv,locations maintainers,Curated location code aliases,mixed,repository,DEFERRED,curated,active,3b68b0cdbcb853cc479852ce2af7053d,Connecticut rows are a known semantic defect pending temporal crosswalk support
county_geom_data.csv,U.S. Census Bureau,2018 county cartographic boundaries at 1:20 million,2018,https://www2.census.gov/geo/tiger/GENZ2018/shp/cb_2018_us_county_20m.zip,US-government-work,verified,active,53073a5e4668ce778d93d8d3eb1bb66a,Flattened coordinates and identifiers exactly match the official shapefile
fips_codes.csv,U.S. Census Bureau Population Division and locations maintainers,Curated derivative of the Population Estimates geography file,Vintage 2016 baseline with later curated edits,https://www2.census.gov/programs-surveys/popest/geographies/2016/all-geocodes-v2016.xlsx,US-government-work-plus-project-edits,curated,active,a4b819e911ca15d75804411b7329e94a,Repository history matches the 2016 workbook except text encoding before documented Alaska and Connecticut edits
fips_state_aliases.csv,U.S. Census Bureau,State FIPS to official USPS abbreviation crosswalk,2021 reference list,https://www.census.gov/library/reference/code-lists/ansi/ansi-codes-for-states.html,US-government-work,verified,active,106773719977cd179289450aabf92b3c,Exact subset of the official Census state and outlying-area code list
KNOWN_DATA_ISSUES.csv,locations maintainers,Known data issue registry,ongoing,repository,PROJECT-METADATA,curated,active,30af6af0e5c21fd3a1d0aa072e4a71b6,Machine-readable scoped blockers and required resolutions
new_fips_codes.csv,locations maintainers,Curated current and historical county-equivalent additions,mixed,repository,DEFERRED,curated,active,ca114ac700184996a40bdd9428e192bb,Must be replaced by a sourced temporal location-code table
nsduh-county.csv,SAMHSA,2016-2018 NSDUH substate definitions by county,2016-2018,https://www.samhsa.gov/data/sites/default/files/2021-09/NSDUHAnalyticCodebookRDC2020.pdf,US-federal-publication-reuse-unverified,curated,active,32037608155b312c5794e63bd64b6072,Curated extraction of Appendix K definitions; the original extraction script is unavailable
nsduh-tract.csv,SAMHSA,2016-2018 NSDUH substate definitions by census tract,2016-2018,https://www.samhsa.gov/data/sites/default/files/2021-09/NSDUHAnalyticCodebookRDC2020.pdf,US-federal-publication-reuse-unverified,curated,active,0774834e4c0b3acd467842ecbd8b06c3,Curated extraction of Appendix K definitions; the original extraction script is unavailable
state_geom_data.csv,U.S. Census Bureau,2018 state cartographic boundaries at 1:20 million,2018,https://www2.census.gov/geo/tiger/GENZ2018/shp/cb_2018_us_state_20m.zip,US-government-work,verified,active,bcdbfc1a9a6f448a767ded4ac814f62b,Flattened coordinates and identifiers exactly match the official shapefile
tga_definitions.csv,Health Resources and Services Administration,Oakland Transitional Grant Area service area,FY 2025,https://grants.hrsa.gov/2010/Web2External/Interface/Common/EHBDisplayAttachment.aspx?dm_attid=b0c513b3-9cbb-466c-a97c-fa8ffb80dbad&dm_attinst=0&dm_rtc=16,US-government-work,verified,active,e753483a98f0a29b993db3fb93c1669c,HRSA defines the Oakland TGA as Alameda County and Contra Costa County
us_state_abbreviations.csv,U.S. Census Bureau and locations maintainers,State and territory postal abbreviations,2021 reference list,https://www.census.gov/library/reference/code-lists/ansi/ansi-codes-for-states.html,US-government-work-plus-project-labels,curated,active,7a6f2240404db4c4a4b0a2f42ede9fa1,Codes match the official Census list; two territory display names are shortened locally
zip_codes.csv,CRAN zipcode package plus an unidentified county crosswalk,Legacy ZIP names coordinates and county assignments,zipcode 1.0 era,https://cran.r-project.org/src/contrib/Archive/zipcode/,mixed-and-unverified,partial,dormant,9292ea762b6fdc5af6fc5bb22faf326b,Coordinates match a subset of zipcode 1.0; county-FIPS source and derivation are unknown and ZIP loading is disabled
zip_geom_data_0_1.csv,UNKNOWN,Derived low-resolution ZIP-like polygon coordinates,UNKNOWN,UNKNOWN,UNKNOWN,unknown,dormant,b511774d0f978b3912a7ca0055485957,Probably simplified ZCTA geometry rather than USPS ZIP geography; derivation is unknown and ZIP loading is disabled
