OID_COUSUB_22|GEOID_COUSUB_22|NAMELSAD_COUSUB_22|AREALAND_COUSUB_22|AREAWATER_COUSUB_22|MTFCC_COUSUB_22|CLASSFP_COUSUB_22|FUNCSTAT_COUSUB_22|OID_BLKGRP_20|GEOID_BLKGRP_20|NAMELSAD_BLKGRP_20|AREALAND_BLKGRP_20|AREAWATER_BLKGRP_20|MTFCC_BLKGRP_20|FUNCSTAT_BLKGRP_20|AREALAND_PART|AREAWATER_PART
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|208701151005425|090135281001|Block Group 1|7370392|635900|G5030|S|7370392|635900
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|208701151005422|090135281002|Block Group 2|12633429|0|G5030|S|12633429|0
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|2087015503699305|090135281003|Block Group 3|12515970|0|G5030|S|12515970|0
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|2087015503699296|090135281004|Block Group 4|7492693|0|G5030|S|7492693|0
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694084|090034621011|Block Group 1|1195447|102476|G5030|S|1195447|102476
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331693974|090034621012|Block Group 2|2694971|0|G5030|S|2694971|0
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694137|090034621013|Block Group 3|2670664|3880|G5030|S|2670664|3880
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694109|090034621014|Block Group 4|1144594|10100|G5030|S|1144594|10100
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331693944|090034621015|Block Group 5|3029911|5754|G5030|S|3029911|5754
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694203|090034621021|Block Group 1|7611513|0|G5030|S|7611513|0
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694175|090034621022|Block Group 2|3770330|307053|G5030|S|3770330|307053
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694246|090034622011|Block Group 1|3187632|149267|G5030|S|3187632|149267
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694281|090034622012|Block Group 2|10240165|92483|G5030|S|10240165|92483
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20870331694218|090034622013|Block Group 3|8581346|140681|G5030|S|8581346|140681
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|208703716538151|090034622021|Block Group 1|4322797|75884|G5030|S|4322797|75884
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|2087015504368666|090034622022|Block Group 2|11533216|231285|G5030|S|11533216|231285
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368674|090034001011|Block Group 1|1879339|0|G5030|S|1879339|0
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368446|090034001012|Block Group 2|9495364|168925|G5030|S|9495364|168925
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368443|090034001021|Block Group 1|4807924|207381|G5030|S|4807924|207381
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368673|090034001022|Block Group 2|3402864|21692|G5030|S|3402864|21692
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|20870331694563|090034002001|Block Group 1|6579488|16519|G5030|S|6579488|16519
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|208703716537695|090034002002|Block Group 2|13675651|461432|G5030|S|13675651|461432
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|208703716537677|090034002003|Block Group 3|12706390|459834|G5030|S|12706390|459834
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368492|090034003001|Block Group 1|2943592|101520|G5030|S|2943592|101520
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368440|090034003002|Block Group 2|1635013|0|G5030|S|1635013|0
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2087015504368509|090034003003|Block Group 3|7880579|307571|G5030|S|7880579|307571
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|20870331694809|090034003004|Block Group 4|1363337|0|G5030|S|1363337|0
