SBST18N,state,AGGFLG18,SBSTA18N,SBST18,SBSTAG18,county,SBSTFG18
Region 3,1,0,,3,,1,1
Region 4,1,0,,4,,3,1
Region 4,1,0,,4,,5,1
Region 2,1,0,,2,,7,1
Region 2,1,0,,2,,9,1
Region 3,1,0,,3,,11,1
Region 4,1,0,,4,,13,1
Region 2,1,0,,2,,15,1
Region 3,1,0,,3,,17,1
Region 1,1,0,,1,,19,1
Region 2,1,0,,2,,21,1
Region 3,1,0,,3,,23,1
Region 4,1,0,,4,,25,1
Region 2,1,0,,2,,27,1
Region 2,1,0,,2,,29,1
Region 4,1,0,,4,,31,1
Region 1,1,0,,1,,33,1
Region 4,1,0,,4,,35,1
Region 2,1,0,,2,,37,1
Region 4,1,0,,4,,39,1
Region 4,1,0,,4,,41,1
Region 1,1,0,,1,,43,1
Region 4,1,0,,4,,45,1
Region 3,1,0,,3,,47,1
Region 1,1,0,,1,,49,1
Region 3,1,0,,3,,51,1
Region 4,1,0,,4,,53,1
Region 1,1,0,,1,,55,1
Region 1,1,0,,1,,57,1
Region 1,1,0,,1,,59,1
Region 4,1,0,,4,,61,1
Region 3,1,0,,3,,63,1
Region 3,1,0,,3,,65,1
Region 4,1,0,,4,,67,1
Region 4,1,0,,4,,69,1
Region 1,1,0,,1,,71,1
Region 2,1,0,,2,,73,1
Region 1,1,0,,1,,75,1
Region 1,1,0,,1,,77,1
Region 1,1,0,,1,,79,1
Region 3,1,0,,3,,81,1
Region 1,1,0,,1,,83,1
Region 3,1,0,,3,,85,1
Region 3,1,0,,3,,87,1
Region 1,1,0,,1,,89,1
Region 3,1,0,,3,,91,1
Region 1,1,0,,1,,93,1
Region 1,1,0,,1,,95,1
Region 4,1,0,,4,,97,1
Region 4,1,0,,4,,99,1
Region 3,1,0,,3,,101,1
Region 1,1,0,,1,,103,1
Region 3,1,0,,3,,105,1
Region 2,1,0,,2,,107,1
Region 3,1,0,,3,,109,1
Region 2,1,0,,2,,111,1
Region 3,1,0,,3,,113,1
Region 2,1,0,,2,,115,1
Region 2,1,0,,2,,117,1
Region 3,1,0,,3,,119,1
Region 2,1,0,,2,,121,1
Region 3,1,0,,3,,123,1
Region 2,1,0,,2,,125,1
Region 1,1,0,,1,,127,1
Region 4,1,0,,4,,129,1
Region 3,1,0,,3,,131,1
Region 1,1,0,,1,,133,1
South Central,2,0,,3,,13,1
South Central,2,0,,3,,16,1
Anchorage,2,0,,1,,20,1
Northern,2,0,,2,,50,1
South Central,2,0,,3,,60,1
Northern,2,0,,2,,68,1
South Central,2,0,,3,,70,1
Northern,2,0,,2,,90,1
Southeast,2,0,,4,,100,1
Southeast,2,0,,4,,105,1
Southeast,2,0,,4,,110,1
South Central,2,0,,3,,122,1
Southeast,2,0,,4,,130,1
South Central,2,0,,3,,150,1
South Central,2,0,,3,,164,1
South Central,2,0,,3,,170,1
Northern,2,0,,2,,180,1
Northern,2,0,,2,,185,1
Northern,2,0,,2,,188,1
Southeast,2,0,,4,,195,1
Southeast,2,0,,4,,198,1
Southeast,2,0,,4,,220,1
Southeast,2,0,,4,,230,1
Northern,2,0,,2,,240,1
South Central,2,0,,3,,261,1
Northern,2,0,,2,,270,1
