"tract","SBST18N","state","AGGFLG18","SBSTA18N","SBST18","SBSTAG18","county","SBSTFG18"
"400100","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400200","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400300","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400400","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400500","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400600","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400700","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400800","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"400900","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401000","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401100","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401200","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401300","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401400","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401500","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401600","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401700","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"401800","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402200","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402400","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402500","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402600","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402700","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402800","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"402900","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"403000","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"403100","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"403300","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"403400","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
"403501","Region 8R (Alameda)",6,0,"Region 8R (Alameda)",24,18,1,1
