geoid,version_valid_from,version_valid_from_precision,code_valid_from,code_valid_from_precision,source_id
02013,1987-10-23,day,1987-10-23,day,src_changes_1980
02016,1987-10-23,day,1987-10-23,day,src_changes_1980
02063,2019-01-02,day,2019-01-02,day,src_changes_2010
02066,2019-01-02,day,2019-01-02,day,src_changes_2010
02105,2013-01-03,day,2007-06-20,day,src_changes_2010
02158,2015-07-01,day,2015-07-01,day,src_changes_2010
02188,1986-06-02,day,1986-06-02,day,src_changes_1980
02195,2013-01-03,day,2008-06-01,day,src_changes_2010
02198,2013-01-03,day,2008-05-19,day,src_changes_2010
02230,2007-06-20,day,2007-06-20,day,src_changes_2000
02275,2008-06-01,day,2008-06-01,day,src_changes_2000
02282,1992-09-22,day,1992-09-22,day,src_changes_1990
09110,2022-01-01,day,2022-01-01,day,src_changes_2020
09120,2022-01-01,day,2022-01-01,day,src_changes_2020
09130,2022-01-01,day,2022-01-01,day,src_changes_2020
09140,2022-01-01,day,2022-01-01,day,src_changes_2020
09150,2022-01-01,day,2022-01-01,day,src_changes_2020
09160,2022-01-01,day,2022-01-01,day,src_changes_2020
09170,2022-01-01,day,2022-01-01,day,src_changes_2020
09180,2022-01-01,day,2022-01-01,day,src_changes_2020
09190,2022-01-01,day,2022-01-01,day,src_changes_2020
